County,Population,Insecurity rate,Food insecure individuals (rounded),"Poverty and 185% poverty povertySNAP, WIC, free school WIC, reduced price Charitable Response meals, CSFP, TEFAP school meals"
Anderson,"57,772",19.3%,"11,160",58% 4% 38%
Andrews,"17,215",8.5%,"1,470",61% 8% 31%
Angelina,"87,657",19.9%,"17,480",67% 4% 29%
Aransas,"24,729",15.6%,"3,860",72% 3% 26%
Archer,"8 ,750",14.8%,"1,290",50% 3% 46%
Armstrong,"1 ,913",13.8%,260,35% 5% 60%
Atascosa,"47,710",8.5%,"4,060",85% 6% 10%
Austin,"29,107",15.8%,"4,610",56% 4% 40%
Bailey,"7 ,131",9.5%,680,100% 0% 0%
Bandera,"21,015",15.1%,"3,180",52% 4% 45%
Bastrop,"78,286",12.6%,"9,830",70% 5% 25%
Baylor,"3 ,639",16.6%,610,62% 1% 36%
Bee,"32,706",14.1%,"4,620",61% 7% 32%
Bell,"3 30,859",19.3%,"63,930",60% 4% 35%
Bexar,"1 ,858,699",11.1%,"205,500",82% 3% 16%
Blanco,"10,918",13.3%,"1,450",59% 5% 36%
Borden,698,14.2%,100,20% 0% 80%
Bosque,"17,953",15.8%,"2,840",66% 6% 28%
Bowie,"93,483",23.0%,"21,460",64% 4% 32%
Brazoria,"3 38,419",14.5%,"48,970",47% 5% 48%
Brazos,"2 09,896",21.3%,"44,640",70% 0% 30%
Brewster,"9 ,188",11.6%,"1,070",90% 9% 1%
Briscoe,"1 ,672",13.6%,230,84% 10% 6%
Brooks,"7 ,217",12.5%,900,96% 4% 0%
Brown,"37,935",16.8%,"6,370",66% 5% 29%
Burleson,"17,417",16.1%,"2,810",55% 7% 39%
Burnet,"44,584",14.6%,"6,500",61% 7% 33%
Caldwell,"39,848",12.7%,"5,060",81% 6% 14%
Calhoun,"21,805",12.7%,"2,770",67% 3% 30%
Callahan,"13,596",17.8%,"2,420",62% 5% 33%
Cameron,"4 18,785",10.4%,"43,590",100% 0% 0%
Camp,"12,631",19.7%,"2,480",73% 4% 22%
Carson,"6 ,027",13.0%,790,43% 5% 52%
Cass,"30,346",22.7%,"6,890",63% 6% 31%
Castro,"7 ,875",8.4%,660,100% 0% 0%
Chambers,"38,072",15.2%,"5,800",54% 6% 41%
Cherokee,"51,257",19.2%,"9,850",73% 5% 22%
Childress,"7 ,059",19.2%,"1,360",58% 3% 38%
Clay,"10,367",17.3%,"1,790",55% 5% 40%
Cochran,"2 ,955",11.1%,330,96% 1% 3%
Coke,"3 ,228",16.0%,520,62% 8% 31%
Coleman,"8 ,476",18.1%,"1,530",69% 5% 26%
Collin,"8 86,633",15.0%,"132,720",35% 4% 61%
Collingsworth,"3 ,032",14.3%,430,88% 9% 3%
Colorado,"20,792",14.9%,"3,100",65% 5% 30%
Comal,"1 24,234",12.1%,"15,050",50% 4% 46%
Comanche,"13,506",15.7%,"2,120",72% 6% 22%
Concho,"4 ,142",7.7%,320,64% 7% 29%
Cooke,"38,878",16.3%,"6,350",55% 5% 41%
Coryell,"75,710",19.2%,"14,510",53% 6% 41%
Cottle,"1 ,560",19.7%,310,71% 4% 25%
Crane,"4 ,823",9.2%,450,58% 14% 28%
Crockett,"3 ,836",11.3%,430,58% 3% 39%
Crosby,"5 ,987",12.0%,720,88% 4% 8%
Culberson,"2 ,259",8.2%,180,100% 0% 0%
Dallam,"7 ,052",12.5%,880,83% 7% 10%
Dallas,"2 ,513,054",17.6%,"442,920",76% 3% 21%
Dawson,"13,317",11.0%,"1,460",76%,6%,18%
Deaf Smith,"19,039",7.4%,"1,410",100%,0%,0%
Delta,"5 ,226",20.4%,"1,070",68%,6%,26%
Denton,"754,650",15.0%,"113,260",43%,3%,54%
DeWitt,"20,660",14.9%,"3,070",64%,4%,32%
Dickens,"2 ,237",16.1%,360,70%,5%,25%
Dimmit,"10,842",7.8%,850,100%,0%,0%
Donley,"3 ,506",17.7%,620,56%,6%,38%
Duval,"11,510",10.1%,"1,170",99%,2%,0%
Eastland,"18,252",18.0%,"3,280",72%,9%,19%
Ector,"153,177",10.3%,"15,780",70%,6%,25%
Edwards,"2 ,028",6.6%,130,99%,1%,0%
Ellis,"160,225",14.2%,"22,830",55%,6%,40%
El Paso,"833,592",8.5%,"71,030",100%,0%,0%
Erath,"40,641",19.1%,"7,770",69%,4%,27%
Falls,"17,265",20.8%,"3,590",68%,1%,31%
Fannin,"33,757",17.9%,"6,050",61%,5%,34%
Fayette,"24,909",14.3%,"3,570",56%,4%,40%
Fisher,"3 ,847",15.3%,590,64%,7%,29%
Floyd,"6 ,088",12.0%,730,97%,3%,0%
Foard,"1 ,320",13.4%,180,63%,13%,24%
Fort Bend,"683,756",14.8%,"100,920",41%,4%,56%
Franklin,"10,571",18.0%,"1,900",67%,6%,27%
Freestone,"19,585",19.9%,"3,890",58%,4%,38%
Frio,"18,542",8.2%,"1,530",99%,1%,0%
Gaines,"19,485",10.4%,"2,040",77%,8%,15%
Galveston,"314,485",17.0%,"53,350",53%,3%,45%
Garza,"6 ,614",9.5%,630,59%,6%,35%
Gillespie,"25,732",12.8%,"3,300",61%,5%,35%
Glasscock,"1 ,253",9.8%,120,72%,10%,18%
Goliad,"7 ,463",13.8%,"1,030",58%,2%,40%
Gonzales,"20,370",12.2%,"2,480",78%,2%,20%
Gray,"23,028",16.4%,"3,780",62%,2%,36%
Grayson,"124,231",17.9%,"22,220",61%,4%,35%
Gregg,"123,283",21.3%,"26,270",69%,5%,27%
Grimes,"27,140",19.2%,"5,210",62%,3%,35%
Guadalupe,"147,313",11.5%,"16,890",58%,5%,38%
Hale,"35,007",12.7%,"4,440",81%,2%,17%
Hall,"3 ,162",20.5%,650,96%,4%,0%
Hamilton,"8 ,232",17.2%,"1,420",60%,6%,34%
Hansford,"5 ,552",11.8%,650,84%,5%,11%
Hardeman,"3 ,952",16.2%,640,79%,4%,17%
Hardin,"55,624",18.0%,"10,040",47%,4%,49%
Harris,"4,434,257",16.6%,"738,140",71%,3%,27%
Harrison,"66,431",21.0%,"13,980",61%,5%,34%
Hartley,"5 ,966",13.3%,790,32%,6%,62%
Haskell,"5 ,812",16.1%,940,59%,6%,36%
Hays,"185,686",13.4%,"24,940",62%,2%,36%
Hemphill,"4 ,151",11.9%,500,64%,3%,34%
Henderson,"79,213",18.8%,"14,880",67%,4%,29%
Hidalgo,"828,334",10.1%,"83,760",100%,0%,0%
Hill,"34,901",17.6%,"6,140",67%,4%,29%
Hockley,"23,377",12.2%,"2,850",74%,7%,20%
Hood,"54,217",15.9%,"8,620",52%,8%,41%
Hopkins,"35,844",18.2%,"6,540",69%,4%,28%
Houston,"22,802",23.3%,"5,310",64%,2%,34%
Howard,"36,423",13.8%,"5,030",62%,4%,35%
Hudspeth,"3 ,481",12.3%,430,78%,3%,19%
Hunt,"89,068",18.7%,"16,700",66%,4%,31%
Hutchinson,"21,782",16.1%,"3,500",63%,6%,31%
Irion,"1 ,631",13.0%,210,51%,9%,40%
Jack,"8 ,866",16.9%,"1,500",56%,3%,42%
Jackson,"14,678",14.1%,"2,060",61%,6%,33%
Jasper,"35,640",21.8%,"7,760",59%,4%,37%
Jeff Davis,"2,221",9.8%,220,95%,4%,1%
Jefferson,"252,993",23.5%,"59,370",62%,3%,35%
Jim Hogg,"5,218",7.3%,380,100%,0%,0%
Jim Wells,"41,486",10.1%,"4,200",87%,2%,11%
Johnson,"157,544",14.8%,"23,310",57%,6%,37%
Jones,"19,944",17.3%,"3,450",41%,3%,57%
Karnes,"14,984",13.5%,"2,020",61%,0%,39%
Kaufman,"111,830",15.8%,"17,660",56%,6%,38%
Kendall,"39,010",11.8%,"4,610",42%,4%,55%
Kenedy,5 58,12.5%,70,100%,0%,0%
Kent,6 67,14.5%,100,48%,7%,45%
Kerr,"50,505",15.1%,"7,630",68%,5%,27%
Kimble,"4,453",15.8%,700,67%,9%,25%
King,2 74,15.5%,40,62%,38%,0%
Kinney,"3,578",9.9%,350,96%,4%,0%
Kleberg,"31,877",12.2%,"3,900",83%,1%,16%
Knox,"3,807",14.0%,530,72%,3%,25%
Lamar,"49,626",21.6%,"10,730",68%,3%,29%
Lamb,"13,561",13.2%,"1,790",95%,0%,5%
Lampasas,"20,357",15.7%,"3,190",58%,3%,39%
La Salle,"7,319",4.9%,360,100%,0%,0%
Lavaca,"19,654",15.2%,"2,990",57%,5%,38%
Lee,"16,754",15.7%,"2,630",58%,7%,35%
